Class,Method,Inferred Type,Original Type,Source Code,Comments
[s]Diff::LCS::Change,from_a,(([ []: (Range<Number>) -> XXX ] and [ flatten: (Number) -> XXX ] and [ size: () -> XXX ])) -> Diff::LCS::Change,,"def self.from_a(arr)
    arr = arr.flatten(1)
    case arr.size
    when 5
      Diff::LCS::ContextChange.new(*(arr[0...5]))
    when 3
      Diff::LCS::Change.new(*(arr[0...3]))
    else
      fail 'Invalid change array format provided.'
    end
  end",""
Diff::LCS::Change,==,(Diff::LCS::Change) -> XXX,,"def ==(other)
    (self.class == other.class) and
      (action == other.action) and
      (position == other.position) and
      (element == other.element)
  end",""
Diff::LCS::Change,<=>,(Diff::LCS::Change) -> XXX,,"def <=>(other)
    r = action <=> other.action
    r = position <=> other.position if r.zero?
    r = element <=> other.element if r.zero?
    r
  end",""
Diff::LCS::Change,adding?,() -> (false or true),,"def adding?
    @action == '+'
  end",""
Diff::LCS::Change,deleting?,() -> (false or true),,"def deleting?
    @action == '-'
  end",""
Diff::LCS::Change,unchanged?,() -> XXX,,"def unchanged?
    @action == '='
  end",""
Diff::LCS::Change,changed?,() -> (false or true),,"def changed?
    @action == '!'
  end",""
Diff::LCS::Change,finished_a?,() -> (false or true),,"def finished_a?
    @action == '>'
  end",""
Diff::LCS::Change,finished_b?,() -> (false or true),,"def finished_b?
    @action == '<'
  end",""
Diff::LCS::ContextChange,initialize,(*XXX) -> self,,"def initialize(*args)
    @action, @old_position, @old_element, @new_position, @new_element = *args

    fail ""Invalid Change Action '#{@action}'"" unless Diff::LCS::Change.valid_action?(@action)
    fail 'Invalid (Old) Position Type' unless @old_position.nil? or @old_position.kind_of? IntClass
    fail 'Invalid (New) Position Type' unless @new_position.nil? or @new_position.kind_of? IntClass
  end",""
Diff::LCS::ContextChange,to_a,"() -> Array<(String or XXX or [XXX, XXX])>",,"def to_a
    [
      @action,
      [@old_position, @old_element],
      [@new_position, @new_element]
    ]
  end",""
[s]Diff::LCS::ContextChange,from_a,(([ []: (Range<Number>) -> XXX ] and [ flatten: (Number) -> XXX ] and [ size: () -> XXX ])) -> Diff::LCS::Change,,"def self.from_a(arr)
    Diff::LCS::Change.from_a(arr)
  end",""
[s]Diff::LCS::ContextChange,simplify,([ to_a: () -> XXX ]) -> Diff::LCS::Change,,"def self.simplify(event)
    ea = event.to_a

    case ea[0]
    when '-'
      ea[2][1] = nil
    when '<'
      ea[0] = '-'
      ea[2][1] = nil
    when '+'
      ea[1][1] = nil
    when '>'
      ea[0] = '+'
      ea[1][1] = nil
    end

    Diff::LCS::ContextChange.from_a(ea)
  end","# Simplifies a context change for use in some diff callbacks. '<' actions
# are converted to '-' and '>' actions are converted to '+'.
"
Diff::LCS::ContextChange,==,(Diff::LCS::ContextChange) -> (false or true),,"def ==(other)
    (self.class == other.class) and
      (@action == other.action) and
      (@old_position == other.old_position) and
      (@new_position == other.new_position) and
      (@old_element == other.old_element) and
      (@new_element == other.new_element)
  end",""
Diff::LCS::ContextChange,<=>,(Diff::LCS::ContextChange) -> Number,,"def <=>(other)
    r = @action <=> other.action
    r = @old_position <=> other.old_position if r.zero?
    r = @new_position <=> other.new_position if r.zero?
    r = @old_element <=> other.old_element if r.zero?
    r = @new_element <=> other.new_element if r.zero?
    r
  end",""
Diff::LCS::HTMLDiff::Callbacks,initialize,"([ <<: (XXX) -> XXX ], ?([ []: (:match_class) -> XXX ] and [ []: (:only_a_class) -> XXX ] and [ []: (:only_b_class) -> XXX ])) -> self",,"def initialize(output, options = {})
      @output = output
      options ||= {}

      @match_class = options[:match_class] || 'match'
      @only_a_class = options[:only_a_class] || 'only_a'
      @only_b_class = options[:only_b_class] || 'only_b'
    end",""
Diff::LCS::HTMLDiff::Callbacks,htmlize,"([ empty?: () -> XXX ], (String or Symbol)) -> String",,"def htmlize(element, css_class)
      element = '&nbsp;' if element.empty?
      %Q(<pre class=""#{__send__(css_class)}"">#{element}</pre>\n)
    end",""
Diff::LCS::HTMLDiff::Callbacks,match,(Diff::LCS::ContextChange) -> XXX,,"def match(event)
      @output << htmlize(event.old_element, :match_class)
    end","# This will be called with both lines are the same
"
Diff::LCS::HTMLDiff::Callbacks,discard_a,(Diff::LCS::ContextChange) -> XXX,,"def discard_a(event)
      @output << htmlize(event.old_element, :only_a_class)
    end","# This will be called when there is a line in A that isn't in B
"
Diff::LCS::HTMLDiff::Callbacks,discard_b,(Diff::LCS::ContextChange) -> XXX,,"def discard_b(event)
      @output << htmlize(event.new_element, :only_b_class)
    end","# This will be called when there is a line in B that isn't in A
"
Diff::LCS::HTMLDiff,initialize,"(XXX, XXX, ?([ []: (:css) -> XXX ] and [ []: (:expand_tabs) -> XXX ] and [ []: (:output) -> XXX ] and [ []: (:title) -> XXX ] and [ []=: (:css, String) -> XXX ] and [ []=: (:output, XXX) -> XXX ] and [ []=: (:title, String) -> XXX ] and { expand_tabs: Number, output: (XXX or nil), css: String, title: String })) -> self",,"def initialize(left, right, options = nil)
    @left     = left
    @right    = right
    @options  = options

    @options = DEFAULT_OPTIONS.dup if @options.nil?
  end",""
Diff::LCS::HTMLDiff,verify_options,() -> String,,"def verify_options
    @options[:expand_tabs] ||= 4
    @options[:expand_tabs] = 4 if @options[:expand_tabs].negative?

    @options[:output] ||= $stdout

    @options[:css] ||= DEFAULT_CSS.dup

    @options[:title] ||= 'diff'
  end",""
Diff::LCS::Hunk,initialize,"(Array<String>, Array<String>, [ each: () {(XXX) -> XXX} -> XXX ], Number, Number) -> self",,"def initialize(data_old, data_new, piece, flag_context, file_length_difference)
    # At first, a hunk will have just one Block in it
    @blocks = [Diff::LCS::Block.new(piece)]
    if String.method_defined?(:encoding)
      @preferred_data_encoding = data_old.fetch(0, data_new.fetch(0, '')).encoding
    end
    @data_old = data_old
    @data_new = data_new

    before = after = file_length_difference
    after += @blocks[0].diff_size
    @file_length_difference = after # The caller must get this manually
    @max_diff_size = @blocks.lazy.map { |e| e.diff_size }.max

    # Save the start & end of each array. If the array doesn't exist (e.g.,
    # we're only adding items in this block), then figure out the line
    # number based on the line number of the other file and the current
    # difference in file lengths.
    if @blocks[0].remove.empty?
      a1 = a2 = nil
    else
      a1 = @blocks[0].remove[0].position
      a2 = @blocks[0].remove[-1].position
    end

    if @blocks[0].insert.empty?
      b1 = b2 = nil
    else
      b1 = @blocks[0].insert[0].position
      b2 = @blocks[0].insert[-1].position
    end

    @start_old = a1 || (RDL.type_cast(b1, ""Integer"") - before)
    @start_new = b1 || (RDL.type_cast(a1, ""Integer"") + before)
    @end_old   = a2 || (RDL.type_cast(b2, ""Integer"") - after)
    @end_new   = b2 || (RDL.type_cast(a2, ""Integer"") + after)

    self.flag_context = flag_context
  end","# Create a hunk using references to both the old and new data, as well as
# the piece of data.
"
Diff::LCS::Hunk,flag_context=,(Number) -> Number,,"def flag_context=(context) #:nodoc: # rubocop:disable Lint/DuplicateMethods
    return if context.nil? or context.zero?

    add_start = context > @start_old ? @start_old : context
    @start_old -= add_start
    @start_new -= add_start

    add_end =
      if (@end_old + context) > @data_old.size
        @data_old.size - @end_old
      else
        context
      end

    add_end = @max_diff_size if add_end > @max_diff_size

    @end_old += add_end
    @end_new += add_end
  end",""
Diff::LCS::Hunk,merge,(Diff::LCS::Hunk) -> nil,,"def merge(hunk)
    return unless overlaps?(hunk)

    @start_old = hunk.start_old
    @start_new = hunk.start_new
    blocks.unshift(*hunk.blocks)
  end","# Merges this hunk and the provided hunk together if they overlap. Returns
# a truthy value so that if there is no overlap, you can know the merge
# was skipped.
"
Diff::LCS::Hunk,overlaps?,(Diff::LCS::Hunk) -> (Diff::LCS::Hunk or false or true),,"def overlaps?(hunk)
    hunk and (((@start_old - hunk.end_old) <= 1) or
              ((@start_new - hunk.end_new) <= 1))
  end","# Determines whether there is an overlap between this hunk and the
# provided hunk. This will be true if the difference between the two hunks
# start or end positions is within one position of each other.
"
Diff::LCS::Hunk,diff,([ ==: (:reverse_ed) -> XXX ]) -> Diff::LCS::Hunk,,"def diff(format)
    case format
    when :old
      old_diff
    when :unified
      unified_diff
    when :context
      context_diff
    when :ed
      self
    when :reverse_ed, :ed_finish
      ed_diff(format)
    else
      fail ""Unknown diff format #{format}.""
    end
  end","# Returns a diff string based on a format.
"
Diff::LCS::Hunk,old_diff,() -> XXX,,"def old_diff
    warn 'Expecting only one block in an old diff hunk!' if @blocks.size > 1
    op_act = { '+' => 'a', '-' => 'd', '!' => 'c' }

    block = @blocks[0]

    # Calculate item number range. Old diff range is just like a context
    # diff range, except the ranges are on one line with the action between
    # them.
    s = encode(""#{context_range(:old)}#{op_act[block.op]}#{context_range(:new)}\n"")
    # If removing anything, just print out all the remove lines in the hunk
    # which is just all the remove lines in the block.
    unless block.remove.empty?
      @data_old[@start_old..@end_old].each { |e| s << encode('< ') + e + encode(""\n"") }
    end

    s << encode(""---\n"") if block.op == '!'

    unless block.insert.empty?
      @data_new[@start_new..@end_new].each { |e| s << encode('> ') + e + encode(""\n"") }
    end

    s
  end","# Note that an old diff can't have any context. Therefore, we know that
# there's only one block in the hunk.
"
Diff::LCS::Hunk,unified_diff,() -> XXX,,"def unified_diff
    # Calculate item number range.
    s = encode(""@@ -#{unified_range(:old)} +#{unified_range(:new)} @@\n"")

    # Outlist starts containing the hunk of the old file. Removing an item
    # just means putting a '-' in front of it. Inserting an item requires
    # getting it from the new file and splicing it in. We splice in
    # +num_added+ items. Remove blocks use +num_added+ because splicing
    # changed the length of outlist.
    #
    # We remove +num_removed+ items. Insert blocks use +num_removed+
    # because their item numbers -- corresponding to positions in the NEW
    # file -- don't take removed items into account.
    lo, hi, num_added, num_removed = @start_old, @end_old, 0, 0

    outlist = @data_old[lo..hi].map { |e| e.insert(0, encode(' ')) }

    @blocks.each do |block|
      block.remove.each do |item|
        op     = item.action.to_s # -
        offset = item.position - lo + num_added
        outlist[offset][0, 1] = encode(op)
        num_removed += 1
      end
      block.insert.each do |item|
        op     = item.action.to_s # +
        offset = item.position - @start_new + num_removed
        outlist[offset, 0] = encode(op) + @data_new[item.position]
        num_added += 1
      end
    end

    s << outlist.join(encode(""\n""))
  end",""
Diff::LCS::Hunk,context_diff,() -> XXX,,"def context_diff
    s = encode(""***************\n"")
    s << encode(""*** #{context_range(:old)} ****\n"")
    r = context_range(:new)

    # Print out file 1 part for each block in context diff format if there
    # are any blocks that remove items
    lo, hi = @start_old, @end_old
    removes = @blocks.reject { |e| e.remove.empty? }
    if removes
      outlist = @data_old[lo..hi].map { |e| e.insert(0, encode(' ')) }

      removes.each do |block|
        block.remove.each do |item|
          outlist[item.position - lo].insert(0, encode(block.op)) # - or !
        end
      end
      s << outlist.join(""\n"")
    end

    s << encode(""\n--- #{r} ----\n"")
    lo, hi = @start_new, @end_new
    inserts = @blocks.reject { |e| e.insert.empty? }
    if inserts
      outlist = @data_new[lo..hi].collect { |e| e.insert(0, encode(' ')) }
      inserts.each do |block|
        block.insert.each do |item|
          outlist[item.position - lo].insert(0, encode(block.op)) # - or !
        end
      end
      s << outlist.join(""\n"")
    end
    s
  end",""
Diff::LCS::Hunk,ed_diff,([ ==: (:reverse_ed) -> XXX ]) -> XXX,,"def ed_diff(format)
    op_act = { '+' => 'a', '-' => 'd', '!' => 'c' }
    warn 'Expecting only one block in an old diff hunk!' if @blocks.size > 1

    s =
      if format == :reverse_ed
        encode(""#{op_act[@blocks[0].op]}#{context_range(:old)}\n"")
      else
        encode(""#{context_range(:old, ' ')}#{op_act[@blocks[0].op]}\n"")
      end

    unless @blocks[0].insert.empty?
      @data_new[@start_new..@end_new].each do |e| s << e + encode(""\n"") end
      s << encode("".\n"")
    end
    s
  end",""
Diff::LCS::Hunk,context_range,"(XXX, ?XXX) -> String",,"def context_range(mode, op = ',') # rubocop:disable Naming/UncommunicativeMethodParamName
    case mode
    when :old
      s, e = (@start_old + 1), (@end_old + 1)
    when :new
      s, e = (@start_new + 1), (@end_new + 1)
    end

    RDL.type_cast(s, ""Integer"") < e ? ""#{s}#{op}#{e}"" : e.to_s
  end","# Generate a range of item numbers to print. Only print 1 number if the
# range has only one item in it. Otherwise, it's 'start,end'
"
Diff::LCS::Hunk,unified_range,(XXX) -> String,,"def unified_range(mode)
    case mode
    when :old
      s, e = (@start_old + 1), (@end_old + 1)
    when :new
      s, e = (@start_new + 1), (@end_new + 1)
    end

    length = RDL.type_cast(e, ""Integer"") - s + 1
    first = length < 2 ? e : s # ""strange, but correct""
    length == 1 ? first.to_s : ""#{first},#{length}""
  end","# Generate a range of item numbers to print for unified diff. Print number
# where block starts, followed by number of lines in the block
# (don't print number of lines if it's 1)
"
[s]Diff::LCS,diff_traversal,"(XXX, ([ []: (Number) -> XXX ] and [ []: (Number, Number) -> XXX ] and [ kind_of?: (Class) -> XXX ] and [ size: () -> XXX ]), ([ []: (XXX) -> XXX ] and [ []: (XXX, Number) -> XXX ] and [ kind_of?: (Class) -> XXX ] and [ size: () -> XXX ]), ([ diffs: () -> XXX ] and [ discard_a: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ discard_b: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ match: ((Diff::LCS::ContextChange or XXX)) -> XXX ] and [ new: () -> XXX ] and [ respond_to?: (:change) -> XXX ] and [ respond_to?: (:finish) -> XXX ] and [ respond_to?: (:finished_a) -> XXX ] and [ respond_to?: (:finished_b) -> XXX ])) { XXX } -> XXX",,"def diff_traversal(method, seq1, seq2, callbacks, &block)
    callbacks = callbacks_for(callbacks)
    case method
    when :diff
      traverse_sequences(seq1, seq2, callbacks)
    when :sdiff
      traverse_balanced(seq1, seq2, callbacks)
    end
    RDL.type_cast(callbacks, ""Diff::LCS::DiffCallbacks"").finish if callbacks.respond_to? :finish

    if block
      callbacks.diffs.map do |hunk|
        if hunk.kind_of? Array
          hunk.map { |hunk_block| block[hunk_block] }
        else
          block[hunk]
        end
      end
    else
      callbacks.diffs
    end
  end",""
[s]Diff::LCS::Internals,lcs,"([ kind_of?: (Class) -> XXX ], ([ []: (XXX) -> XXX ] and [ []: (XXX, Number) -> XXX ] and [ kind_of?: (Class) -> XXX ])) -> Array<Number>",,"def lcs(a, b)
    a_start = b_start = 0
    a_finish = RDL.type_cast(a, ""Array"").size - 1
    b_finish = RDL.type_cast(b, ""Array"").size - 1
    vector = []

    # Prune off any common elements at the beginning...
    while (a_start <= a_finish) and (b_start <= b_finish) and (RDL.type_cast(a, ""Array<Object>"")[a_start] == RDL.type_cast(b, ""Array<Object>"")[b_start])
      vector[a_start] = b_start
      a_start += 1
      b_start += 1
    end
    b_start = a_start

    # Now the end...
    while (a_start <= a_finish) and (b_start <= b_finish) and (RDL.type_cast(a, ""Array<Object>"")[a_finish] == RDL.type_cast(b, ""Array<Object>"")[b_finish])
      vector[a_finish] = b_finish
      a_finish -= 1
      b_finish -= 1
    end

    # Now, compute the equivalence classes of positions of elements.
    b_matches = position_hash(b, b_start..b_finish)

    thresh = RDL.type_cast([], ""Array<Integer>"")
    links  = RDL.type_cast([], ""Array<[nil, Integer, Integer]>"")
    string = a.kind_of?(String)

    (a_start..a_finish).each do |i|
      ai = string ? RDL.type_cast(a, ""String"")[i, 1] : RDL.type_cast(a, ""Array<String>"")[i]
      bm = b_matches[ai]
      k = RDL.type_cast(nil, ""Integer"", force: true)
      bm.reverse_each do |j|
        if k and (thresh[k] > j) and (thresh[k - 1] < j)
          thresh[k] = j
        else
          k = replace_next_larger(thresh, j, k)
        end
        links[k] = RDL.type_cast([k.positive? ? links[k - 1] : nil, i, j], ""[nil, Integer, Integer]"", force: true) unless k.nil?
      end
    end

    unless thresh.empty?
      link = links[thresh.size - 1]
      until link.nil?
        vector[link[1]] = link[2]
        link = link[0]
      end
    end

    vector
  end","# Compute the longest common subsequence between the sequenced
# Enumerables +a+ and +b+. The result is an array whose contents is such
# that
#
#     result = Diff::LCS::Internals.lcs(a, b)
#     result.each_with_index do |e, i|
#       assert_equal(a[i], b[e]) unless e.nil?
#     end
"
[s]Diff::LCS::Internals,analyze_patchset,"([ each: () {(XXX) -> XXX} -> XXX ], ?([ +: (Number) -> XXX ] and [ >: (Number) -> XXX ])) -> [false, Array<(Diff::LCS::Change or XXX)>]",,"def analyze_patchset(patchset, depth = 0)
    fail 'Patchset too complex' if depth > 1

    has_changes = false
    new_patchset = []

    # Format:
    # [ # patchset
    #   # hunk (change)
    #   [ # hunk
    #     # change
    #   ]
    # ]

    patchset.each do |hunk|
      case hunk
      when Diff::LCS::Change
        has_changes ||= !hunk.unchanged?
        new_patchset << hunk
      when Array
        # Detect if the 'hunk' is actually an array-format change object.
        if Diff::LCS::Change.valid_action? hunk[0]
          hunk = Diff::LCS::Change.from_a(hunk)
          has_changes ||= !hunk.unchanged?
          new_patchset << hunk
        else
          with_changes, hunk = analyze_patchset(hunk, depth + 1)
          has_changes ||= with_changes
          new_patchset.concat(hunk)
        end
      else
        fail ArgumentError, ""Cannot normalise a hunk of class #{hunk.class}.""
      end
    end

    [has_changes, new_patchset]
  end","# This method will analyze the provided patchset to provide a single-pass
# normalization (conversion of the array form of Diff::LCS::Change objects to
# the object form of same) and detection of whether the patchset represents
# changes to be made.
"
[s]Diff::LCS::Internals,intuit_diff_direction,"(([ []: (XXX) -> XXX ] and [ []: (XXX, Number) -> XXX ] and [ kind_of?: (Class) -> XXX ]), [ each: () {(XXX) -> XXX} -> XXX ], ?Number) -> (:patch or :unpatch)",,"def intuit_diff_direction(src, patchset, limit = nil)
    string = src.kind_of?(String)
    count = left_match = left_miss = right_match = right_miss = 0

    patchset.each do |change|
      count += 1

      case change
      when Diff::LCS::ContextChange
        le = string ? src[change.old_position, 1] : src[change.old_position]
        re = string ? src[change.new_position, 1] : src[change.new_position]

        case change.action
        when '-' # Remove details from the old string
          if le == change.old_element
            left_match += 1
          else
            left_miss += 1
          end
        when '+'
          if re == change.new_element
            right_match += 1
          else
            right_miss += 1
          end
        when '='
          left_miss += 1 if le != change.old_element
          right_miss += 1 if re != change.new_element
        when '!'
          if le == change.old_element
            left_match += 1
          elsif re == change.new_element
            right_match += 1
          else
            left_miss += 1
            right_miss += 1
          end
        end
      when Diff::LCS::Change
        # With a simplistic change, we can't tell the difference between
        # the left and right on '!' actions, so we ignore those. On '='
        # actions, if there's a miss, we miss both left and right.
        element = string ? src[change.position, 1] : src[change.position]

        case change.action
        when '-'
          if element == change.element
            left_match += 1
          else
            left_miss += 1
          end
        when '+'
          if element == change.element
            right_match += 1
          else
            right_miss += 1
          end
        when '='
          if element != change.element
            left_miss += 1
            right_miss += 1
          end
        end
      end

      break if !limit.nil? && (count > limit)
    end

    no_left = left_match.zero? && left_miss.positive?
    no_right = right_match.zero? && right_miss.positive?

    case [no_left, no_right]
    when [false, true]
      :patch
    when [true, false]
      :unpatch
    else
      case left_match <=> right_match
      when 1
        if left_miss.zero?
          :patch
        else
          :unpatch
        end
      when -1
        if right_miss.zero?
          :unpatch
        else
          :patch
        end
      else
        fail ""The provided patchset does not appear to apply to the provided \
enumerable as either source or destination value.""
      end
    end
  end","# Examine the patchset and the source to see in which direction the
# patch should be applied.
#
# WARNING: By default, this examines the whole patch, so this could take
# some time. This also works better with Diff::LCS::ContextChange or
# Diff::LCS::Change as its source, as an array will cause the creation
# of one of the above.
"
[s]Diff::LCS::Internals,replace_next_larger,"(([ <<: (XXX) -> XXX ] and [ []: (Number) -> XXX ] and [ []=: (Number, XXX) -> XXX ] and [ empty?: () -> XXX ] and [ size: () -> XXX ]), Number, ?Number) -> Number",,"def replace_next_larger(enum, value, last_index = nil)
    # Off the end?
    if enum.empty? or (value > enum[-1])
      enum << value
      return enum.size - 1
    end

    # Binary search for the insertion point
    last_index ||= enum.size
    first_index = 0
    while first_index <= last_index
      i = (first_index + last_index) >> 1

      found = enum[i]

      return nil if value == found

      if value > found
        first_index = i + 1
      else
        last_index = i - 1
      end
    end

    # The insertion point is in first_index; overwrite the next larger
    # value.
    enum[first_index] = value
    first_index
  end","# Find the place at which +value+ would normally be inserted into the
# Enumerable. If that place is already occupied by +value+, do nothing
# and return +nil+. If the place does not exist (i.e., it is off the end
# of the Enumerable), add it to the end. Otherwise, replace the element
# at that point with +value+. It is assumed that the Enumerable's values
# are numeric.
#
# This operation preserves the sort order.
"
[s]Diff::LCS::Internals,inverse_vector,"([ dup: () -> XXX ], ([ []: (Number) -> XXX ] and [ size: () -> XXX ])) -> XXX",,"def inverse_vector(a, vector)
    inverse = a.dup
    (0...vector.size).each do |i|
      inverse[vector[i]] = i unless vector[i].nil?
    end
    inverse
  end","# If +vector+ maps the matching elements of another collection onto this
# Enumerable, compute the inverse of +vector+ that maps this Enumerable
# onto the collection. (Currently unused.)
"
